Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
1,Jannik Sinner,79,92.4,71.1,69.8,9.9,2.4,6.3,61.6,79.3,57.8,61.7,91.5,40.9,42.3,7.5,3.1,31.9,55.9,28.3,42.2,658,0.67,3.1,8.3,1.32,3.5,73.6,0.32,1.6,4.1,0.41,1.1,55.3,75.8,83.8,60.3
2,Alexander Zverev,89,76.4,70.4,68.6,11.5,2.6,9.2,71.4,76.6,54.8,60.3,90.0,37.9,38.8,6.5,2.5,29.8,51.4,22.5,37.3,705,0.6,2.9,7.9,1.09,3.0,69.2,0.32,1.6,4.3,0.49,1.3,53.4,60.0,70.5,56.3
3,Carlos Alcaraz,67,80.6,68.1,67.9,6.3,2.6,7.7,65.5,73.6,57.7,62.5,86.7,41.6,41.7,5.1,3.5,34.4,54.4,30.9,42.0,593,0.74,3.4,8.9,1.44,3.7,64.5,0.37,1.8,4.5,0.62,1.6,54.2,58.1,75.1,58.9
4,Taylor Fritz,76,69.7,69.9,67.1,13.1,2.3,6.1,62.9,78.3,55.7,59.3,88.5,35.6,35.9,7.7,3.8,27.4,49.5,20.1,39.1,501,0.51,2.5,6.6,0.96,2.6,69.6,0.38,1.9,5.0,0.57,1.5,52.6,64.7,65.2,54.8
5,Jack Draper,61,63.9,67.0,66.0,10.8,4.1,10.1,59.6,78.0,50.9,56.6,84.1,37.7,38.8,8.3,3.5,29.7,50.4,24.2,42.4,446,0.57,2.8,7.3,1.17,3.1,60.3,0.4,1.9,5.1,0.77,2.0,52.0,54.2,60.5,54.1
6,Novak Djokovic,46,80.4,68.4,67.8,8.2,2.9,8.2,64.4,75.4,55.9,60.9,85.9,41.3,42.4,6.9,3.2,33.5,54.6,29.9,41.6,418,0.72,3.3,9.1,1.36,3.8,65.3,0.41,1.9,5.3,0.66,1.8,54.6,68.4,74.2,58.3
7,Casper Ruud,76,67.1,66.6,65.9,7.5,2.7,7.8,65.8,73.0,54.4,59.0,84.0,37.6,38.9,8.5,3.3,29.7,50.3,24.0,40.5,533,0.59,2.7,7.0,1.09,2.8,63.4,0.44,2.0,5.2,0.73,1.9,52.0,60.7,61.6,54.2
8,Alex De Minaur,68,69.1,64.4,64.6,6.2,3.6,8.0,54.6,72.6,54.6,59.3,80.7,42.0,42.2,5.8,3.9,32.9,55.6,31.1,45.0,575,0.69,3.2,8.5,1.46,3.8,59.7,0.48,2.2,5.8,0.89,2.3,52.7,61.1,65.2,55.7
9,Lorenzo Musetti,68,58.8,64.0,63.8,4.4,2.1,5.9,64.7,70.4,52.4,55.7,78.8,37.6,38.1,6.9,3.3,29.2,51.7,22.2,36.8,524,0.6,2.9,7.7,1.05,2.8,57.0,0.49,2.3,6.3,1.01,2.7,50.5,52.9,54.1,50.6
10,Holger Rune,68,66.2,66.5,66.0,8.4,3.6,9.0,60.2,74.0,55.2,60.6,84.7,35.2,35.7,7.8,3.5,26.8,48.7,18.9,37.9,428,0.5,2.4,6.3,0.91,2.4,65.8,0.45,2.2,5.6,0.74,1.9,50.9,64.5,60.1,51.9
11,Daniil Medvedev,65,70.8,64.0,64.8,8.0,5.5,14.3,61.8,73.2,49.3,57.5,80.0,39.9,40.5,5.8,3.1,32.5,52.7,28.0,44.4,538,0.63,3.0,8.3,1.34,3.7,61.2,0.51,2.4,6.7,0.94,2.6,51.8,71.4,64.6,53.8
12,Tommy Paul,64,70.3,65.2,64.1,7.0,2.1,5.6,61.9,71.6,55.0,58.3,82.2,40.8,41.3,5.2,2.9,34.2,52.2,28.5,41.4,536,0.69,3.2,8.4,1.32,3.5,66.2,0.53,2.5,6.5,0.84,2.2,52.9,60.9,67.3,55.6
13,Ben Shelton,67,61.2,69.0,68.1,11.0,3.8,12.2,69.0,75.6,54.2,61.8,88.8,32.5,32.4,7.1,3.6,25.0,45.5,14.9,34.6,396,0.43,2.2,5.9,0.76,2.0,72.8,0.41,2.1,5.7,0.57,1.6,50.8,48.0,56.9,52.1
14,Arthur Fils,66,57.6,65.2,65.1,8.4,4.3,11.1,61.1,75.2,49.5,55.7,82.3,36.3,37.3,7.3,2.8,29.3,48.3,20.0,39.0,413,0.51,2.4,6.3,0.95,2.4,63.8,0.49,2.3,6.0,0.84,2.2,50.7,60.0,54.7,51.2
15,Grigor Dimitrov,64,71.9,69.4,69.3,10.7,4.6,12.0,61.2,80.1,52.4,59.6,87.3,37.1,38.8,9.5,3.3,28.3,51.4,21.1,37.3,464,0.57,2.7,7.3,1.02,2.7,67.2,0.39,1.9,5.0,0.62,1.7,52.7,71.4,67.6,54.5
16,Frances Tiafoe,57,56.1,65.9,64.4,9.6,2.9,7.0,59.0,74.2,54.1,58.1,84.0,35.3,37.5,12.9,4.2,27.2,48.8,18.1,35.2,401,0.51,2.6,7.0,0.9,2.5,64.4,0.45,2.2,6.1,0.79,2.2,50.5,51.3,54.1,50.9
17,Andrey Rublev,69,62.3,67.7,66.4,10.2,3.2,8.4,61.8,76.4,53.6,58.5,86.8,37.5,39.2,10.0,3.7,28.5,51.9,20.5,35.5,518,0.58,2.9,7.5,1.02,2.7,68.8,0.42,2.1,5.6,0.67,1.7,52.2,43.2,58.9,53.7
18,Francisco Cerundolo,66,53.0,62.1,62.9,4.2,3.8,10.5,64.3,67.9,51.7,57.8,77.4,38.4,38.9,4.9,2.5,31.5,50.5,25.7,43.4,475,0.59,2.8,7.2,1.22,3.1,60.9,0.58,2.8,7.0,1.08,2.8,50.4,48.5,53.8,51.6
19,Stefanos Tsitsipas,67,67.2,66.7,66.3,8.4,3.8,9.6,60.8,74.3,54.8,60.6,86.4,35.8,36.5,6.8,2.7,28.6,48.0,22.4,41.5,436,0.54,2.6,6.5,1.08,2.7,68.4,0.43,2.1,5.3,0.68,1.7,51.6,56.3,62.9,54.7
20,Tomas Machac,56,58.9,63.2,63.0,6.3,3.3,9.2,64.0,69.1,52.8,58.1,79.0,37.6,38.7,8.3,3.4,30.1,50.3,24.4,43.7,389,0.56,2.7,6.9,1.16,3.0,59.4,0.52,2.5,6.4,1.0,2.6,50.5,62.5,57.5,51.7
21,Jakub Mensik,45,55.6,63.4,61.5,12.0,4.4,11.1,59.9,74.1,47.3,53.2,80.5,35.5,36.2,8.5,3.8,27.2,50.3,19.5,39.6,285,0.49,2.2,6.3,0.89,2.5,64.8,0.55,2.6,7.2,0.9,2.5,49.9,54.3,53.5,50.1
22,Ugo Humbert,63,61.9,66.8,65.3,8.6,2.3,6.4,63.8,73.5,55.0,58.8,85.9,37.0,37.4,7.7,3.9,28.7,50.6,22.2,38.4,461,0.58,2.7,7.3,1.05,2.8,66.0,0.42,2.0,5.4,0.68,1.8,51.9,41.7,59.8,54.3
23,Sebastian Korda,50,62.0,65.6,63.2,10.5,2.3,5.9,60.2,74.4,52.3,55.5,82.1,37.2,37.9,8.0,3.8,28.4,51.7,22.2,38.3,350,0.58,2.8,7.0,1.07,2.7,60.4,0.45,2.2,5.5,0.86,2.2,51.0,46.2,56.8,52.1
24,Karen Khachanov,59,62.7,66.6,64.6,9.6,2.1,6.0,64.3,74.6,52.2,55.5,83.2,36.6,38.2,9.7,3.4,27.4,52.2,21.9,40.5,407,0.54,2.7,6.9,1.09,2.8,61.9,0.44,2.2,5.6,0.83,2.1,51.3,60.6,60.3,52.5
